Questions,Answer
Why is so much emphasis laid on Happiness as a topic?,"Attaining happiness has been the most common human pursuit as we build our lives. In who we are, what we do, where we go, how we perform—the bottom line has been to seek and experience happiness. Discussing it as a topic helps us to understand the emotion in its entirety, so as to create real and lasting happiness."
"We are looking for happiness, as you said. But what is it through which we are looking for it?","The channels through which most of us look for happiness is interesting. It ranges from position, possessions, property, relationships, health and so on. Today if you ask someone what they want in life, they say success. But they want success essentially because they believe it makes them happy. Likewise, ask them why they own or purchase material comfort, and the most likely response is that it makes them or their family happy. And the biggest reason people get into relationships today is to get that sense of happiness from the other person. So, finally everyone is looking for just that one feeling—happiness."
"Happiness derived out of these means is limited, isn’t it?","It is. In fact, we really need to check if any of them can even give us happiness"
"It is momentary—like a child who breaks one toy and then wants another toy, and then yet another. What are we looking for? If we are looking for happiness, shouldn’t it be permanent?","By itself, happiness should be a permanent and lasting emotion. When it comes naturally to us, we won’t be dependent on anything outside. But the moment we make happiness dependent on something, it becomes a fleeting emotion. Simply put, if you look for happiness outside of you, you are dependent on a situation to be favourable. Happiness now becomes conditional and fleeting. If I am happy only when the weather is pleasant, my feeling good is dependent on the weather. I will not allow myself to feel nice if it gets hotter or colder."
How can one be happy without desires and dependencies?,"That’s probably one of the oldest belief systems we have allowed ourselves to live by—the belief that happiness is to be acquired from the outside, whether it’s from achievements or from people or from what we are. The equation has been ‘I am doing this so that I will feel happy’. Only when it’s done, and done perfectly, I can be happy. So, the dependency is on the act being performed in the right manner. This belief is ingrained right from childhood. Parents feel good when the child gets good marks, when the child performs well, when the child dresses up well, and so on. Slowly a child is conditioned to believe that he is responsible for his parents’ happiness. If they are happy, he can be happy too, and not otherwise."
Can you share the meaning of happiness and explain how to experience it without any dependency?,"First and foremost, let’s see the factors we have made it dependent on. The simplest dependency that we experience on a daily basis is on objects. We say ‘I’ll feel happy when I buy a new car; I’ll feel happy when I buy new property; I am happy when I go shopping.’"
But what is wrong in this? Isn’t this natural?,What is more important is—Is there truth in this? Are thesedependencies actually making us happy?
I certainly will be happy if I buy a new car.,"Of course, you will, but is it the car that is giving you the happiness you are looking for? I will be happy when I have a new car… which means, if I don’t, then there’s a question mark on my happiness. This also means that 10 days down the line, if the car gets a scratch or a bump, my happiness is again going to get affected, because I have conditioned myself into believing that it is the car that is giving me happiness. Now that is not true. You buy a new car—the most expensive car in the world. I feel comfortable sitting in the car. So who is experiencing the comfort? It’s the body. Plush seats, the best music system and a powerful AC. There is flawless physical comfort. I feel comfortable sitting in the car and tell myself that I am feeling good. Suppose at that moment I get a phone call giving me news of an unpleasant situation at home. Will I still be happy?"
"No, I cannot be.","But I am still comfortable. I am still in the most comfortable car. Here we need to understand that the car was designed to give me physical comfort and it will continue to give me physical comfort, irrespective of my situations."
Are happiness and comfort two different things?,"Yes. Anything physical is designed to give me physical comfort. The chair I am sitting on is physical and giving me physical comfort, but I wrongly believed it gave me happiness."
